path;data;extension;date;length;length_after_html_drop;@userName;hashtag;URLs;emoticon;emoji;length_after_cleaning_text;language;interjection;target
sms-spam-collection/_ham_/726.tsms; !   scrumptious... daddy   eat   night long!;tsms;null;71;71; ; ; ; ; ;71;en;night -- ;ham
sms-spam-collection/_ham_/5127.tsms;  work ah... den 6  lor...  workin oso rite... den  orchard lor,   place   liao...;tsms;null;108;108; ; ; ; ; ;108;en; ;ham
sms-spam-collection/_ham_/5227.tsms;smile  pleasure smile  pain smile  trouble pours  rain smile   hurts  smile becoz   loves    smiling!!;tsms;null;142;142; ; ; ; ; ;142;en;when -- see -- pleasure -- like -- ;ham
sms-spam-collection/_ham_/2493.tsms; drama pls.       family    struggling   hot sun   strange place. reason      ego    '  invited'    necessity  go.wait    reppurcussions.;tsms;null;246;246; ; ; ; ; ;246;en;why -- when -- there -- not -- enough -- ;ham
sms-spam-collection/_ham_/4347.tsms;  ?     half-8th;tsms;null;41;41; ; ; ; ; ;41;en; ;ham
sms-spam-collection/_ham_/516.tsms;s:)no competition  .;tsms;null;27;27; ; ; ; ; ;27;en; ;ham
sms-spam-collection/_ham_/3756.tsms;"""instant message  gloucesterroad   uup  later?""";tsms;null;46;46; ; ; ; ; ;46;en;what -- ;ham
sms-spam-collection/_ham_/980.tsms; month.   chocolate weed  alcohol.;tsms;null;50;50; ; ; ; ; ;50;en; ;ham
sms-spam-collection/_ham_/1285.tsms;  . drinkin ' .;tsms;null;29;29; ; ; ; ; ;29;en;okay -- ;ham
sms-spam-collection/_ham_/5398.tsms;    custom officer discount .;tsms;null;41;41; ; ; ; ; ;41;en;oh -- ;ham
sms-spam-collection/_ham_/4588.tsms;     swing    bit,   things   care   firsg;tsms;null;80;80; ; ; ; ; ;80;en;take care -- see -- here -- ;ham
sms-spam-collection/_ham_/2050.tsms;   blackberry bold2  nigeria.;tsms;null;41;41; ; ; ; ; ;41;en;how -- ;ham
sms-spam-collection/_ham_/3528.tsms;  send  naughty pictures? ;tsms;null;34;34; ; ; ;:) ; ;31;en; ;ham
sms-spam-collection/_ham_/981.tsms;  started searching    job   days.  great potential  talent.;tsms;null;88;88; ; ; ; ; ;88;en;great -- ;ham
sms-spam-collection/_ham_/4671.tsms; didnt get  full msg..sometext is missing, send it again;tsms;null;60;60; ; ; ; ; ;60;sv; ;ham
sms-spam-collection/_ham_/2894.tsms;        noon   ' ;tsms;null;57;57; ; ; ; ; ;57;en;what -- sure -- see -- okay -- ;ham
sms-spam-collection/_ham_/5009.tsms; fool  cheat  ;tsms;null;29;29; ; ; ; ; ;29;en;okay -- don't -- ;ham
sms-spam-collection/_ham_/723.tsms;  wondar full flim.;tsms;null;26;26; ; ; ; ; ;26;en; ;ham
sms-spam-collection/_ham_/908.tsms;i.ll give     .    grinule greet    speak;tsms;null;80;80; ; ; ; ; ;80;en; ;ham
sms-spam-collection/_ham_/3085.tsms; lor.  ned 2  toa payoh 4   2 return smth  wan 2 send    ?;tsms;null;83;83; ; ; ; ; ;83;en;what -- there -- okay -- ;ham
sms-spam-collection/_ham_/5421.tsms;'  bruce & fowler   '   mom' car    park (long story) ;tsms;null;83;80; ; ; ; ; ;80;en;so -- now -- ;ham
sms-spam-collection/_ham_/5461.tsms;  hear  loud scream   <#> minutes    gyno   shoving things      belong  ;tsms;null;121;116; ; ; ;:/ ; ;114;en;not -- ;ham
sms-spam-collection/_ham_/3378.tsms;. wun  ?      message   shuhui?;tsms;null;59;59; ; ; ; ; ;59;en;yes -- what -- see -- really -- ;ham
sms-spam-collection/_ham_/4178.tsms; lor    tog lor...;tsms;null;29;29; ; ; ; ; ;29;en;okay -- ;ham
sms-spam-collection/_ham_/4894.tsms;send    number;tsms;null;23;23; ; ; ; ; ;23;en; ;ham
sms-spam-collection/_ham_/1700.tsms;ok...;tsms;null;6;6; ; ; ; ; ;6;eu; ;ham
sms-spam-collection/_ham_/2713.tsms;hey       yogasana?    end  cine    bathe    steam bath;tsms;null;102;102; ; ; ; ; ;102;en;hey -- ;ham
sms-spam-collection/_ham_/3633.tsms;oooh   plenty  !;tsms;null;28;28; ; ; ; ; ;28;en;oooh -- ;ham
sms-spam-collection/_ham_/4343.tsms;ha!  wouldn'      read     .     2  judgemental.... save   fridays   pub!;tsms;null;140;140; ; ; ; ; ;140;en;way -- say -- not -- like -- ha! -- ;ham
sms-spam-collection/_ham_/5008.tsms; . .    tomorrow;tsms;null;29;29; ; ; ; ; ;29;en;okay -- oh -- come -- ;ham
sms-spam-collection/_ham_/3805.tsms; dude,   fake.. friends  money, thts  ' reffering u..  member   mail link,  vl  credited <#> rs  il  getiing <#> rs..  draw  account    <#> rs.. ;tsms;null;205;185; ; ; ; ; ;185;en;why -- when -- not -- dude -- ;ham
sms-spam-collection/_ham_/5019.tsms;babe ! what are you doing ? where are you ? who are you talking to ? do you think of me ? are you being a good boy? are you missing me? do you love me ?;tsms;null;153;153; ; ; ; ; ;153;ht; ;ham
sms-spam-collection/_ham_/472.tsms; long      screamed, princess?;tsms;null;51;51; ; ; ; ; ;51;en;how -- ;ham
sms-spam-collection/_ham_/3577.tsms; sign  maturity     start  big things..    ,   start understanding small things... *have  nice evening* bslvyl;tsms;null;155;155; ; ; ; ; ;155;en;when -- not -- nice -- ;ham
sms-spam-collection/_ham_/4909.tsms;'  solihull, |    ?;tsms;null;41;41; ; ; ; ; ;41;en; ;ham
sms-spam-collection/_ham_/2009.tsms;  forwarding message  proof;tsms;null;37;37; ; ; ; ; ;37;en;see -- ;ham
sms-spam-collection/_ham_/3931.tsms; thk ü    home  urself.      shopping 4  friends present.;tsms;null;83;83; ; ; ; ; ;83;en;out -- ;ham
sms-spam-collection/_ham_/4553.tsms;"""symptoms""     love ""1.  listening songs 2.  stopped        beloved 3. won'  angry  ";tsms;null;140;140; ; ; ;e: ; ;138;en;when -- see -- like -- ;ham
sms-spam-collection/_ham_/5402.tsms;hard  true    show & express  love  someone....    hurt   leave     seperated...!鈥┾??〨ud evening... ;tsms;null;158;154; ; ; ;E: ; ;152;en;when -- how -- ;ham
sms-spam-collection/_ham_/277.tsms; rob  mack  girlfriend   theater;tsms;null;39;39; ; ; ; ; ;39;en; ;ham
sms-spam-collection/_ham_/5331.tsms;sir, waiting   letter.;tsms;null;30;30; ; ; ; ; ;30;en; ;ham
sms-spam-collection/_ham_/2371.tsms; day ü  ü cut  hair  paragon,   called hair sense?  ü      hair cut?;tsms;null;99;99; ; ; ; ; ;99;en;say -- is it -- how -- ;ham
sms-spam-collection/_ham_/1932.tsms; pa  me..    bath;tsms;null;36;36; ; ; ;:-) ; ;32;en;what -- ;ham
sms-spam-collection/_ham_/158.tsms;,  love.    ?      interview today?    happy?     good boy?     ?  missing  ?;tsms;null;158;158; ; ; ; ; ;158;en;what -- hello -- good -- doing -- boy -- ;ham
sms-spam-collection/_ham_/4481.tsms;     invention  fly..'  joking.,;tsms;null;52;52; ; ; ; ; ;52;en;why -- not -- ;ham
sms-spam-collection/_ham_/2601.tsms; usual..iam fine, happy &  well.. ;tsms;null;47;44; ; ; ;:) ; ;42;en;doing -- ;ham
sms-spam-collection/_ham_/736.tsms;    talking  ;tsms;null;30;30; ; ; ; ; ;30;en;why -- ;ham
sms-spam-collection/_ham_/4174.tsms;ok...      wisdom teeth hidden inside    2 remove.;tsms;null;78;78; ; ; ; ; ;78;en; ;ham
sms-spam-collection/_ham_/4486.tsms;   standing.;tsms;null;25;25; ; ; ; ; ;25;en;what -- not -- ;ham
sms-spam-collection/_ham_/4523.tsms;do  want 2 meet up 2morro;tsms;null;27;27; ; ; ; ; ;27;de; ;ham
sms-spam-collection/_ham_/4539.tsms;dare  ask...  luck  sorting   car?;tsms;null;49;49; ; ; ; ; ;49;en;out -- ;ham
sms-spam-collection/_ham_/2437.tsms;                 4th guy   commit   random dude;tsms;null;115;115; ; ; ; ; ;115;en;way -- see -- really -- dude -- ;ham
sms-spam-collection/_ham_/1546.tsms;good afternoon,  love !  job prospects ?   missing  ?     ?    lazy  bleak, hmmm ?  happy  filled   love ?;tsms;null;156;156; ; ; ; ; ;156;en;what -- hmmm -- good -- afternoon -- ;ham
sms-spam-collection/_ham_/3251.tsms;babe,    advice;tsms;null;25;25; ; ; ; ; ;25;en; ;ham
sms-spam-collection/_ham_/5564.tsms; lor... sony ericsson salesman...   shuhui     good 2    considering...;tsms;null;97;97; ; ; ; ; ;97;en;so -- say -- quite -- okay -- good -- ;ham
sms-spam-collection/_ham_/988.tsms;geeee ...  miss  ,   ?      . fuck,   wait till  year      ... *loving kiss*;tsms;null;146;146; ; ; ; ; ;146;en;you know -- when -- fuck -- ;ham
sms-spam-collection/_ham_/3566.tsms;  taj mahal  symbol  love.    lesser  facts 1. mumtaz  shahjahan' 4th wife,    7 wifes. 2. shahjahan killed mumtaz' husband  marry . 3. mumtaz died   <#>  delivery. 4.   married mumtaz' sister. question arises   hell   love? - great hari- ;tsms;null;323;317; ; ; ;:-| ; ;314;en;the hell -- out -- marry -- hell -- great -- ;ham
sms-spam-collection/_ham_/3802.tsms;  ,   armand'  ;tsms;null;40;40; ; ; ; ; ;40;en;okay -- ;ham
sms-spam-collection/_ham_/1972.tsms;enjoy ur life. . good night;tsms;null;28;28; ; ; ; ; ;28;cy; ;ham
sms-spam-collection/_ham_/2365.tsms;            sleep good night;tsms;null;67;67; ; ; ; ; ;67;en;okay -- night -- good -- ;ham
sms-spam-collection/_ham_/4939.tsms;   cancelled yeah baby!   sounds important   understand  darlin give   ring    phone love kate ;tsms;null;130;130; ; ; ; ; ;130;en;yeah -- well -- this -- so -- later -- ;ham
sms-spam-collection/_ham_/3608.tsms;   idea   ;tsms;null;29;29; ; ; ; ; ;29;en;no idea -- ;ham
sms-spam-collection/_ham_/966.tsms;     catch         sell <#>  . ;tsms;null;86;79; ; ; ; ; ;79;en; ;ham
sms-spam-collection/_ham_/1582.tsms;hhahhaahahah rolling   floor laughing   fuck nig  leonardo   room  ;tsms;null;65;65; ; ; ; ; ;65;en;what the fuck -- what the -- what -- fuck -- ;ham
sms-spam-collection/_ham_/5128.tsms;  wonderful okors,   great month.  cherish  guys      day. mojibiola;tsms;null;102;102; ; ; ; ; ;102;en;well -- great -- ;ham
sms-spam-collection/_ham_/4033.tsms;'  happy   babe ! woo hoo party  dude!;tsms;null;53;53; ; ; ; ; ;53;en;woo hoo -- woo -- hoo -- dude! -- ;ham
sms-spam-collection/_ham_/3117.tsms;uncle abbey! happy  year. abiola;tsms;null;36;36; ; ; ; ; ;36;en;uncle -- ;ham
sms-spam-collection/_ham_/275.tsms; objection.  boyfriend  coming.;tsms;null;32;32; ; ; ; ; ;32;en;not -- ;ham
sms-spam-collection/_ham_/5273.tsms;  wan 2    dinner tonight  ?;tsms;null;46;46; ; ; ; ; ;46;en;so -- not -- come -- ;ham
sms-spam-collection/_ham_/2905.tsms;hi darlin i hope you had a nice night i wish i had come cant wait to see you love fran ps i want dirty anal sex and i want a 10 man gang bang;tsms;null;142;142; ; ; ; ; ;142;so; ;ham
sms-spam-collection/_ham_/1541.tsms;   nordstrom  you'reply ;tsms;null;37;37; ; ; ; ; ;37;en;when -- okay -- come -- ;ham
sms-spam-collection/_ham_/1051.tsms;are you available for soiree  june 3rd?;tsms;null;42;42; ; ; ; ; ;42;fr; ;ham
sms-spam-collection/_ham_/2603.tsms;      rimac access;tsms;null;35;35; ; ; ; ; ;35;en;when -- so -- ;ham
sms-spam-collection/_ham_/1211.tsms;guessin         9?;tsms;null;42;42; ; ; ; ; ;42;en;not -- here -- ;ham
sms-spam-collection/_ham_/1542.tsms;  konw waht  rael friendship instant message gving   exmpe  ese tihs msg.. evrey splleing  tihs message  wrnog.. bit torrent sitll   raed  wihtuot ayn mitsake.. goodnight &   nice sleep..sweet dreams.. ;tsms;null;213;210; ; ; ;l: ; ;208;en;nice -- ;ham
sms-spam-collection/_ham_/58.tsms;   reached;tsms;null;23;23; ; ; ; ; ;23;en; ;ham
sms-spam-collection/_ham_/1829.tsms;may  call you later pls;tsms;null;25;25; ; ; ; ; ;25;ca; ;ham
sms-spam-collection/_ham_/5035.tsms;     perumbavoor;tsms;null;28;28; ; ; ; ; ;28;en; ;ham
sms-spam-collection/_ham_/2130.tsms;mine    fr china   noisy.;tsms;null;43;43; ; ; ; ; ;43;en;so -- like -- here -- ;ham
sms-spam-collection/_ham_/5024.tsms; holla    you'reply      excuse   creep  people  sarasota;tsms;null;101;101; ; ; ; ; ;101;en;holla -- ;ham
sms-spam-collection/_ham_/4484.tsms;true love  care wil   unrecognized.  somone  makes mistakes  valuing .    definitly undrstnd    start missing .;tsms;null;160;160; ; ; ; ; ;160;en;when -- ;ham
sms-spam-collection/_ham_/5075.tsms;    <#> mesages today.  .    hurts ;tsms;null;67;61; ; ; ; ; ;61;en;why -- sorry -- ;ham
sms-spam-collection/_ham_/435.tsms;  ? '    hillsborough & <#>  ;tsms;null;74;64; ; ; ; ; ;64;en;right -- now -- like -- ;ham
sms-spam-collection/_ham_/4779.tsms;u r the most beautiful girl ive ever seen. u r my baby come and c me in the common room;tsms;null;88;88; ; ; ; ; ;88;cy; ;ham
sms-spam-collection/_ham_/5552.tsms;cool,  time      ?;tsms;null;44;44; ; ; ; ; ;44;en;what -- time -- here -- ;ham
